Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Text Area 2,Text Area 3,Text Area 4,Text Area 5,Text Area 6,Text Area 7,Comments
1,Document,,,,,,,,,Draft,DetectionGV,,,,,,,
2,Page,,,,,,,,,,Page 1,,,,,,,
3,Cloud,Geometric Shapes,2,,,,,,,,3_CombiScriptInsertions.sh,,,,,,,
4,Cloud,Geometric Shapes,2,,,,,,,,2_CombiScriptSamtools.sh,,,,,,,
5,Cloud,Geometric Shapes,2,,,,,,,,1_QCScript.sh,,,,,,,
6,Cloud,Geometric Shapes,2,,,,,,,,0_DicIndex.sh,,,,,,,
7,DividerBlock,,2,,,,,,,,,,,,,,,
8,Decision,Flowchart Shapes/Containers,2,,,,,,,,.fasta    (recipient WT),,,,,,,
9,Text,Standard,2,,,,,,,,Trimmomatic trimmomatic PE,,,,,,,
10,Decision,Flowchart Shapes/Containers,2,,,,,,,,raw reads .fastq(.gz) of hybrids,,,,,,,
11,Text,Standard,2,,,,,,,,Align reads to reference genome (recipient wild type) bwa mem -B 1 -O 1,,,,,,,
12,Text,Standard,2,,,,,,,,FastQC fastqc,,,,,,,
13,Decision,Flowchart Shapes/Containers,2,,,,,,,,quality reports .zip/.html,,,,,,,
14,Text,Standard,2,,,,,,,,pile up bcftools mpileup,,,,,,,
15,Decision,Flowchart Shapes/Containers,2,,,,,,,,_2Ref_bcf.vcf,,,,,,,
16,Text,Standard,2,,,,,,,,calculate coverage with BedTools genomeCoverageBed,,,,,,,
17,Decision,Flowchart Shapes/Containers,2,,,,,,,,coverage _2Ref_coverage.txt,,,,,,,
18,Text,Standard,2,,,,,,,,"""Hard"" align reads to donor genome (recipient wild type) bwa mem",,,,,,,
19,Decision,Flowchart Shapes/Containers,2,,,,,,,,_2Donor.sam,,,,,,,
20,Text,Standard,2,,,,,,,,sort samtools sort,,,,,,,
21,Decision,Flowchart Shapes/Containers,2,,,,,,,,_2Donor_sort.bam,,,,,,,
22,Text,Standard,2,,,,,,,,index samtools index,,,,,,,
23,Decision,Flowchart Shapes/Containers,2,,,,,,,,_2Donor_sort.bam.bai,,,,,,,
24,Text,Standard,2,,,,,,,,calculate coverage with BedTools genomeCoverageBed,,,,,,,
25,Decision,Flowchart Shapes/Containers,2,,,,,,,,coverage _2Donor_coverage.txt,,,,,,,
26,Text,Standard,2,,,,,,,,Variant calling bcftools call,,,,,,,
27,Decision,Flowchart Shapes/Containers,2,,,,,,,,variant list _2Ref_bcfcall.vcf,,,,,,,
28,Display,Flowchart Shapes/Containers,2,,,,,,,,"paths, filenames, sampleType, filter parameters",,,,,,,
29,Decision,Flowchart Shapes/Containers,2,,,,,,,,SNPSummary.mat,,,,,,,
30,Text,Standard,2,,,,,,,,A0c_AccessoryGenome.m,,,,,,,
31,Display,Flowchart Shapes/Containers,2,,,,,,,,"paths, filenames, filter parameters, genome length recipient (.fasta letter count AGTC)",,,,,,,
32,Sticky note,Sticky Notes,2,,,,,,,,list of single replacements + some metadata,,,,,,,
33,Sticky note,Sticky Notes,2,,,,,,,,filters single replacements,,,,,,,
34,Sticky note,Sticky Notes,2,,,,,,,,list of single replacements + their positions -------------------  for each sample,,,,,,,
35,Sticky note,Sticky Notes,2,,,,,,,,filters ???,,,,,,,
36,Sticky note,Sticky Notes,2,,,,,,,,list of single replacements + their positions -------------------  for each sample,,,,,,,
37,Cloud,Geometric Shapes,2,,,,,,,,2_CombiScript Samtools.sh,,,,,,,
38,Decision,Flowchart Shapes/Containers,2,,,,,,,,.dict (recipient WT),,,,,,,
39,Cloud,Geometric Shapes,2,,,,,,,,1_QCScript.sh,,,,,,,
40,Decision,Flowchart Shapes/Containers,2,,,,,,,,raw reads .fastq(.gz) of donor,,,,,,,
41,Decision,Flowchart Shapes/Containers,2,,,,,,,,(un)paired reads          _P.fastq          _U.fastq,,,,,,,
42,Decision,Flowchart Shapes/Containers,2,,,,,,,,variant list _2Ref_bcf.vcf,,,,,,,
43,Delete,Salesforce Architecture Diagrams,2,,,,,,,,,,,,,,,
