# this bed file is the NZ_CP026362.1, entries without unique locus_tag were fixed
# seqName	start	ende	direction	type1	type2	Name	locus_tag	product
NZ_CP026362.1	2	1675	+	CDS	pseudogene	bmrA	BV11031_RS00005	multidrug resistance ABC transporter ATP-binding protein/permease BmrA
NZ_CP026362.1	1802	3252	+	CDS	pseudogene	BV11031_RS00010	BV11031_RS00010	tetratricopeptide repeat protein
NZ_CP026362.1	3632	5022	+	CDS	pseudogene	BV11031_RS00015	BV11031_RS00015	peptidase C40
NZ_CP026362.1	5242	6192	+	CDS	gene	trxB	BV11031_RS00020	thioredoxin-disulfide reductase
NZ_CP026362.1	6519	6984	+	CDS	pseudogene	BV11031_RS00030	BV11031_RS00030	8-oxo-dGTP diphosphatase
NZ_CP026362.1	7006	7888	+	CDS	pseudogene	rapZ	BV11031_RS00035	RNase adapter RapZ
NZ_CP026362.1	7890	8839	+	CDS	pseudogene	mgfK	BV11031_RS00040	gluconeogenesis morphogenetic factor
NZ_CP026362.1	8862	9810	+	CDS	pseudogene	whiA	BV11031_RS00045	DNA-binding protein WhiA
NZ_CP026362.1	9834	10091	+	CDS	gene	BV11031_RS00050	BV11031_RS00050	HPr family phosphocarrier protein
NZ_CP026362.1	10092	10854	+	CDS	pseudogene	BV11031_RS00055	BV11031_RS00055	arylamine N-acetyltransferase
NZ_CP026362.1	10913	11098	-	CDS	pseudogene	BV11031_RS00060	BV11031_RS00060	hypothetical protein
NZ_CP026362.1	11243	11955	+	CDS	pseudogene	BV11031_RS00065	BV11031_RS00065	response regulator transcription factor
NZ_CP026362.1	11949	13019	+	CDS	gene	BV11031_RS00070	BV11031_RS00070	HAMP domain-containing histidine kinase
NZ_CP026362.1	13102	13881	+	CDS	gene	psdA	BV11031_RS00075	lantibiotic ABC transporter ATP-binding protein PsdA
NZ_CP026362.1	13856	15802	+	CDS	gene	BV11031_RS00080	BV11031_RS00080	FtsX-like permease family protein
NZ_CP026362.1	15836	16812	-	CDS	pseudogene	BV11031_RS00085	BV11031_RS00085	D-glycerate dehydrogenase
NZ_CP026362.1	17215	17799	+	CDS	gene	BV11031_RS00090	BV11031_RS00090	carbonic anhydrase
NZ_CP026362.1	17817	19418	+	CDS	gene	BV11031_RS00095	BV11031_RS00095	SulP family inorganic anion transporter
NZ_CP026362.1	19445	19765	-	CDS	gene	BV11031_RS00100	BV11031_RS00100	MazG-like family protein
NZ_CP026362.1	19881	20456	+	CDS	gene	BV11031_RS00105	BV11031_RS00105	TIGR00730 family Rossman fold protein
NZ_CP026362.1	20506	21102	-	CDS	gene	clpP	BV11031_RS00110	ATP-dependent Clp endopeptidase proteolytic subunit ClpP
NZ_CP026362.1	21372	21447	+	exon	tRNA	BV11031_RS00115	BV11031_RS00115	tRNA-Arg
NZ_CP026362.1	21600	22115	+	CDS	gene	BV11031_RS00120	BV11031_RS00120	DUF3231 family protein
NZ_CP026362.1	22409	22729	-	CDS	gene	BV11031_RS00125	BV11031_RS00125	multidrug efflux SMR transporter
NZ_CP026362.1	22729	23064	-	CDS	gene	BV11031_RS00130	BV11031_RS00130	multidrug efflux SMR transporter
NZ_CP026362.1	23144	23728	-	CDS	gene	BV11031_RS00135	BV11031_RS00135	TetR family transcriptional regulator
NZ_CP026362.1	23823	25385	-	CDS	gene	BV11031_RS00140	BV11031_RS00140	APC family permease
NZ_CP026362.1	25493	27043	-	CDS	gene	BV11031_RS00145	BV11031_RS00145	glycoside hydrolase family 32 protein
NZ_CP026362.1	27120	28541	-	CDS	gene	sacB	BV11031_RS00150	levansucrase
NZ_CP026362.1	29064	29783	+	CDS	pseudogene	BV11031_RS00155	BV11031_RS00155	beta-lactamase family protein
NZ_CP026362.1	29783	29989	+	CDS	pseudogene	BV11031_RS00160	BV11031_RS00160	DegT/DnrJ/EryC1/StrS aminotransferase family protein
NZ_CP026362.1	29968	30936	+	CDS	gene	BV11031_RS00165	BV11031_RS00165	polysaccharide pyruvyl transferase family protein
NZ_CP026362.1	30946	31164	-	CDS	gene	yvfG	BV11031_RS00170	protein YvfG
NZ_CP026362.1	31243	32553	+	CDS	gene	rpoN	BV11031_RS00175	RNA polymerase factor sigma-54
NZ_CP026362.1	32677	32880	+	CDS	gene	BV11031_RS00180	BV11031_RS00180	helix-turn-helix transcriptional regulator
NZ_CP026362.1	32877	33260	+	CDS	gene	BV11031_RS00185	BV11031_RS00185	hypothetical protein
NZ_CP026362.1	33337	35034	-	CDS	gene	BV11031_RS00190	BV11031_RS00190	L-lactate permease
NZ_CP026362.1	35264	35986	+	CDS	gene	lutR	BV11031_RS00195	L-lactate utilization/bacilysin biosynthesis transcriptional regulator LutR
NZ_CP026362.1	36163	36428	+	CDS	pseudogene	BV11031_RS00200	BV11031_RS00200	hypothetical protein
NZ_CP026362.1	36657	38720	+	CDS	gene	ganA	BV11031_RS00205	beta-galactosidase GanA
NZ_CP026362.1	38971	40185	-	CDS	gene	BV11031_RS00210	BV11031_RS00210	SpoIIE family protein phosphatase
NZ_CP026362.1	40215	41027	-	CDS	gene	BV11031_RS00215	BV11031_RS00215	alpha/beta hydrolase
NZ_CP026362.1	41306	42211	+	CDS	gene	BV11031_RS00220	BV11031_RS00220	ABC transporter ATP-binding protein
