# this bed file is based on information from NZ_CP007640.gff3/ bed, but the positions are based on Batro
# seqName	start	ende	direction	type1	type2	Name	locus_tag	product
NZ_CP007640.1	74983	75139	+	CDS	pseudogene	DJ95_RS00005	DJ95_RS00005	collagen-like protein
NZ_CP007640.1	76815	77522	-	CDS	gene	DJ95_RS00010	DJ95_RS00010	DUF4352 domain-containing protein
NZ_CP007640.1	77602	78990	-	CDS	gene	DJ95_RS00015	DJ95_RS00015	alkaline phosphatase
NZ_CP007640.1	79293	79808	+	CDS	gene	DJ95_RS00020	DJ95_RS00020	DUF3231 family protein
NZ_CP007640.1	80190	81551	+	CDS	gene	DJ95_RS00025	DJ95_RS00025	serine hydrolase
NZ_CP007640.1	81852	82814	+	CDS	gene	DJ95_RS00030	DJ95_RS00030	ABC transporter ATP-binding protein
NZ_CP007640.1	82807	84330	+	CDS	gene	opuFB	DJ95_RS00035	osmoprotectant update ABC transporter permease/substrate-binding subunit OpuFB
NZ_CP007640.1	84746	87166	-	CDS	gene	DJ95_RS00040	DJ95_RS00040	peptidase G2
NZ_CP007640.1	87393	87938	-	CDS	gene	DJ95_RS00045	DJ95_RS00045	GNAT family N-acetyltransferase
NZ_CP007640.1	88105	88560	+	CDS	gene	DJ95_RS00050	DJ95_RS00050	MarR family transcriptional regulator
NZ_CP007640.1	88580	88993	+	CDS	gene	DJ95_RS00055	DJ95_RS00055	hypothetical protein
NZ_CP007640.1	89056	90213	-	CDS	gene	DJ95_RS00060	DJ95_RS00060	MFS transporter
NZ_CP007640.1	90644	91330	+	CDS	gene	DJ95_RS00065	DJ95_RS00065	FadR family transcriptional regulator
NZ_CP007640.1	91333	92562	+	CDS	gene	DJ95_RS00070	DJ95_RS00070	MFS transporter
NZ_CP007640.1	92671	92994	-	CDS	gene	DJ95_RS00075	DJ95_RS00075	AzlD domain-containing protein
NZ_CP007640.1	92991	93719	-	CDS	gene	DJ95_RS00080	DJ95_RS00080	AzlC family ABC transporter permease
NZ_CP007640.1	93801	94610	-	CDS	gene	DJ95_RS00085	DJ95_RS00085	TrmB family transcriptional regulator
NZ_CP007640.1	95488	95564	+	exon	tRNA	DJ95_RS00095	DJ95_RS00095	tRNA-Arg
NZ_CP007640.1	95582	95655	+	exon	tRNA	DJ95_RS00100	DJ95_RS00100	tRNA-Gly
NZ_CP007640.1	95758	97307	+	exon	rRNA	DJ95_RS00105	DJ95_RS00105	16S ribosomal RNA
NZ_CP007640.1	97489	100416	+	exon	rRNA	DJ95_RS00110	DJ95_RS00110	23S ribosomal RNA
NZ_CP007640.1	100472	100587	+	exon	rRNA	rrf	DJ95_RS00115	5S ribosomal RNA
